Date,Time,0516-IBLC-02-0101,0403-CIRS-02-0203,0403-CIRS-02-0202,0516-IBLC-01-0182,0277-AERL-04-0403,0277-AERL-04-0403
16-01-05,0:00:00,1,1,1,1,5,13
16-01-05,0:05:00,0,0,1,1,3,2
16-01-05,0:10:00,0,0,1,0,3,2
16-01-05,0:15:00,0,0,2,0,5,1
16-01-05,0:20:00,0,0,1,1,5,2
16-01-05,0:25:00,0,0,1,1,5,1
16-01-05,0:30:00,0,0,1,1,3,1
16-01-05,0:35:00,0,0,1,1,3,1
16-01-05,0:40:00,0,0,1,1,4,2
16-01-05,0:45:00,0,0,1,1,4,1
16-01-05,0:50:00,0,0,1,0,3,1
16-01-05,0:55:00,0,0,1,0,2,1
16-01-05,1:00:00,0,0,1,0,4,1
16-01-05,1:05:00,0,0,1,0,2,1
16-01-05,1:10:00,0,0,1,0,2,1
16-01-05,1:15:00,0,0,1,0,3,1
16-01-05,1:20:00,0,0,1,0,2,1
16-01-05,1:25:00,0,0,1,0,2,1
16-01-05,1:30:00,0,0,1,0,1,1
16-01-05,1:35:00,0,0,1,0,1,1
16-01-05,1:40:00,0,0,1,0,1,0
16-01-05,1:45:00,0,0,1,0,1,0
16-01-05,1:50:00,0,0,1,0,1,0
16-01-05,1:55:00,0,0,1,0,1,1
16-01-05,2:00:00,0,0,0,0,0,1
16-01-05,2:05:00,0,0,0,0,0,1
16-01-05,2:10:00,0,0,0,0,0,1
16-01-05,2:15:00,0,0,0,0,0,1
16-01-05,2:20:00,0,0,0,0,0,1
16-01-05,2:25:00,0,0,0,0,0,1
16-01-05,2:30:00,0,0,0,0,0,1
16-01-05,2:35:00,0,0,0,0,0,1
16-01-05,2:40:00,0,0,0,0,0,0
16-01-05,2:45:00,0,0,0,0,0,1
16-01-05,2:50:00,0,0,1,0,1,1
16-01-05,2:55:00,0,0,1,0,1,1
16-01-05,3:00:00,0,0,0,0,1,1
16-01-05,3:05:00,0,0,0,0,1,1
16-01-05,3:10:00,0,0,0,0,1,1
16-01-05,3:15:00,0,0,0,0,1,1
16-01-05,3:20:00,0,0,0,0,1,1
16-01-05,3:25:00,0,0,0,0,1,1
16-01-05,3:30:00,0,0,0,0,1,1
16-01-05,3:35:00,0,0,0,0,0,1
16-01-05,3:40:00,0,0,0,0,1,0
16-01-05,3:45:00,0,0,0,0,1,0
16-01-05,3:50:00,0,0,0,0,1,0
16-01-05,3:55:00,0,0,0,0,1,0
16-01-05,4:00:00,0,0,0,0,1,0
16-01-05,4:05:00,0,0,0,0,2,0
16-01-05,4:10:00,0,0,0,0,2,0
16-01-05,4:15:00,0,0,0,0,2,0
16-01-05,4:20:00,0,0,0,0,1,0
16-01-05,4:25:00,0,0,0,0,1,0
16-01-05,4:30:00,0,0,0,0,1,0
16-01-05,4:35:00,0,0,0,0,1,1
16-01-05,4:40:00,0,0,0,0,0,0
16-01-05,4:45:00,0,0,0,0,0,0
16-01-05,4:50:00,0,0,0,0,0,1
16-01-05,4:55:00,0,0,0,0,0,2
16-01-05,5:00:00,0,0,0,0,0,2
16-01-05,5:05:00,0,0,0,0,0,2
16-01-05,5:10:00,0,0,0,0,0,2
16-01-05,5:15:00,0,0,0,0,0,2
16-01-05,5:20:00,0,0,0,0,0,3
